城市,AQI,PM10,PM2.5
三亚,33.7750,28.6062,15.5437
海口,39.0250,37.4062,19.6812
阿坝,40.6688,24.4438,9.9750
阿勒泰,44.0625,20.1687,10.8875
黔西南,44.8000,44.2875,17.7625
南平,47.3375,38.7625,25.8625
黔南,47.3625,41.5063,25.6812
呼伦贝尔,47.9312,36.0938,17.7312
伊春,48.0312,40.0187,24.3000
迪庆,48.5187,32.3813,10.4375
深圳,49.1000,47.3125,28.1562
三明,49.1375,45.0312,29.7250
甘孜,49.4000,35.3687,19.6187
兴安盟,50.0000,41.1875,19.2063
茂名,50.0187,50.0500,28.0938
黄山,50.1375,51.1437,28.1125
大兴安岭,50.2875,41.0000,21.4563
厦门,50.3188,48.6938,27.5375
塔城,50.6938,34.7500,15.3000
林芝,51.0375,27.2437,10.5437
湛江,51.4312,41.2375,28.3250
凉山,51.6625,35.2687,21.7875
中山,51.7125,46.4000,31.2750
黑河,52.0812,44.4625,22.4563
珠海,52.3000,46.6437,30.1438
阿里,52.4750,47.5750,18.6375
丽江,52.4937,44.0250,18.6562
龙岩,52.5938,51.0938,30.6812
汕尾,52.6000,45.8875,26.0000
河源,53.9125,47.8937,32.3438
舟山,53.9562,48.3563,27.4000
大理,53.9750,47.9000,22.1875
怒江,54.1187,57.6187,27.8938
普洱,54.3438,53.9688,29.3500
文山,54.4562,54.3813,31.6750
昌都,54.5500,47.3438,20.3750
梅州,54.8937,50.9750,34.0625
惠州,55.0063,52.2875,31.3125
阳江,55.1250,42.2062,33.3062
楚雄,55.7750,55.0250,30.4812
防城港,55.9625,55.1063,34.7188
海门,56.0375,56.8813,33.2687
景德镇,56.0938,59.7437,33.4562
黔东南,56.1625,52.0812,34.2875
丽水,56.7375,51.9062,32.2250
福州,56.9312,54.6063,29.1875
宁德,57.0562,51.6750,31.7875
北海,57.2188,51.1812,33.5187
云浮,57.2938,50.8312,36.0688
汕头,57.7563,50.8250,30.3438
红河,57.7938,51.9625,33.6625
保山,58.2687,55.1437,30.8188
遵义,58.3875,59.8687,36.2313
莆田,58.6063,48.0562,31.5437
泉州,58.8875,53.3000,29.0437
江门,59.4500,61.0625,34.3625
荣成,59.6125,54.0000,26.5188
玉树,59.8062,58.4188,20.6250
