城市,日期,AQI
七台河,2017-12-28,55
三亚,2017-12-28,37
三明,2017-12-28,76
三门峡,2017-12-28,276
上饶,2017-12-28,91
东莞,2017-12-28,130
东营,2017-12-28,156
中卫,2017-12-28,348
中山,2017-12-28,117
临夏,2017-12-28,236
临安,2017-12-28,112
临汾,2017-12-28,267
临沂,2017-12-28,87
临沧,2017-12-28,54
丹东,2017-12-28,49
丽水,2017-12-28,93
丽江,2017-12-28,55
义乌,2017-12-28,84
乌海,2017-12-28,137
乌鲁木齐,2017-12-28,49
乐山,2017-12-28,164
九江,2017-12-28,141
乳山,2017-12-28,72
云浮,2017-12-28,116
五家渠,2017-12-28,64
亳州,2017-12-28,171
伊春,2017-12-28,39
伊犁,2017-12-28,39
佛山,2017-12-28,137
佳木斯,2017-12-28,35
保定,2017-12-28,167
保山,2017-12-28,42
信阳,2017-12-28,196
克州,2017-12-28,105
克拉玛依,2017-12-28,33
六安,2017-12-28,115
六盘水,2017-12-28,107
兰州,2017-12-28,273
兴安盟,2017-12-28,83
内江,2017-12-28,174
凉山,2017-12-28,61
包头,2017-12-28,178
北海,2017-12-28,130
十堰,2017-12-28,187
南京,2017-12-28,93
南充,2017-12-28,132
南宁,2017-12-28,102
南平,2017-12-28,64
南昌,2017-12-28,101
南通,2017-12-28,38
南阳,2017-12-28,262
博州,2017-12-28,40
即墨,2017-12-28,72
厦门,2017-12-28,58
双鸭山,2017-12-28,39
句容,2017-12-28,117
台州,2017-12-28,91
合肥,2017-12-28,128
吉安,2017-12-28,148
吉林,2017-12-28,109
吐鲁番,2017-12-28,115
吕梁,2017-12-28,181
吴忠,2017-12-28,331
吴江,2017-12-28,48
周口,2017-12-28,213
呼伦贝尔,2017-12-28,67
呼和浩特,2017-12-28,157
和田,2017-12-28,455
咸宁,2017-12-28,94
咸阳,2017-12-28,369
哈密,2017-12-28,80
哈尔滨,2017-12-28,158
唐山,2017-12-28,191
商丘,2017-12-28,117
商洛,2017-12-28,134
喀什,2017-12-28,120
嘉兴,2017-12-28,52
嘉峪关,2017-12-28,288
四平,2017-12-28,127
固原,2017-12-28,246
塔城,2017-12-28,33
大兴安岭,2017-12-28,35
大同,2017-12-28,177
大庆,2017-12-28,69
大理,2017-12-28,39
大连,2017-12-28,58
天水,2017-12-28,122
太仓,2017-12-28,43
太原,2017-12-28,212
威海,2017-12-28,56
娄底,2017-12-28,130
孝感,2017-12-28,130
宁德,2017-12-28,78
宁波,2017-12-28,64
安庆,2017-12-28,196
安康,2017-12-28,152
安阳,2017-12-28,243
安顺,2017-12-28,72
定西,2017-12-28,221
宜兴,2017-12-28,86
宜宾,2017-12-28,214
宜昌,2017-12-28,240
宜春,2017-12-28,136
宝鸡,2017-12-28,262
宣城,2017-12-28,110
宿州,2017-12-28,120
宿迁,2017-12-28,97
富阳,2017-12-28,114
寿光,2017-12-28,109
山南,2017-12-28,40
岳阳,2017-12-28,102
崇左,2017-12-28,62
巴中,2017-12-28,148
巴彦淖尔,2017-12-28,137
常州,2017-12-28,61
常德,2017-12-28,150
常熟,2017-12-28,48
平凉,2017-12-28,214
平度,2017-12-28,73
平顶山,2017-12-28,256
广元,2017-12-28,136
广安,2017-12-28,145
广州,2017-12-28,118
庆阳,2017-12-28,188
库尔勒,2017-12-28,110
廊坊,2017-12-28,142
延安,2017-12-28,133
延边,2017-12-28,42
开封,2017-12-28,213
张家口,2017-12-28,114
张家港,2017-12-28,55
张家界,2017-12-28,139
张掖,2017-12-28,421
徐州,2017-12-28,128
德宏,2017-12-28,66
德州,2017-12-28,251
德阳,2017-12-28,136
忻州,2017-12-28,257
怀化,2017-12-28,168
怒江,2017-12-28,56
恩施,2017-12-28,209
惠州,2017-12-28,92
成都,2017-12-28,188
扬州,2017-12-28,90
