城市,AQI,PM10,PM2.5
三亚,35.2189,29.8831,15.4991
阿坝,35.9273,28.4644,14.6323
迪庆,38.2838,32.9097,13.1359
林芝,40.2918,26.5012,10.3349
丽江,40.8462,33.1857,15.4829
海口,40.9946,38.7145,21.1398
伊春,42.1248,37.5176,21.1008
黔西南,42.1783,41.7282,18.4708
阿勒泰,42.5420,24.3805,11.1934
怒江,42.7514,41.7138,21.0592
南平,42.8263,36.7865,23.2558
甘孜,42.9719,34.7749,19.3135
楚雄,43.5020,39.1998,22.7186
大理,43.7386,28.3621,23.5140
普洱,45.4623,43.9567,25.3125
大兴安岭,45.7618,41.9177,20.3749
龙岩,46.1227,44.2120,25.5275
阿里,46.2158,32.9033,16.7698
黔南,46.4535,41.0801,25.2564
黑河,46.6526,42.1203,24.2494
三明,46.6956,45.5410,26.9960
凉山,47.2534,37.8577,23.0671
塔城,47.3333,35.7514,17.9904
临沧,47.3562,43.0741,27.4104
湛江,48.2384,42.8619,27.2972
玉溪,48.4569,48.8644,25.8834
宁德,48.7602,45.0263,27.1665
玉树,48.8213,45.0211,17.9310
汕尾,48.9443,42.3661,27.3451
黔东南,49.2326,46.1423,30.8945
文山,49.5420,43.5324,29.7602
深圳,49.6098,49.2011,29.7383
防城港,49.6143,47.6104,30.0040
黄山,49.6771,48.2914,28.2540
厦门,49.9816,49.6419,29.4735
安顺,50.2271,46.0183,29.5952
茂名,50.5857,49.5244,30.6592
西双版纳,50.6067,54.3789,27.7034
莆田,50.8167,44.1888,28.2470
保山,51.4574,44.9243,27.3705
梅州,51.9159,49.8751,32.0637
锡林郭勒,52.2008,54.0440,16.0912
珠海,52.2542,49.6137,30.7649
山南,52.4676,39.4660,14.1223
泉州,52.6841,53.3932,27.7061
惠州,52.8079,52.4146,30.2772
毕节,53.0008,50.2406,31.8653
阳江,53.3142,47.5288,32.5751
呼伦贝尔,53.4732,51.7922,26.4756
昆明,53.5604,57.2504,29.1892
福州,53.7852,54.4887,28.3031
河源,54.1940,51.1719,34.2299
中山,54.2855,49.6841,33.6252
