城市,日期,质量等级,AQI,AQI排名,PM2.5,PM10,So2,No2,Co,O3
兰州,2013-10-28,良,94,30,61,136,29,29,1,14
兰州,2013-10-29,良,86,41,61,115,27,29,1,18
兰州,2013-10-30,良,77,38,56,74,24,30,1,26
兰州,2013-10-31,良,74,41,51,93,19,42,1,24
兰州,2013-11-1,良,99,56,73,123,20,47,1,24
兰州,2013-11-2,轻度污染,113,62,84,156,29,44,1,13
兰州,2013-11-3,轻度污染,139,83,107,183,36,53,2,26
兰州,2013-11-4,轻度污染,111,70,78,117,34,54,1,44
兰州,2013-11-5,轻度污染,135,93,99,196,37,84,2,54
兰州,2013-11-6,轻度污染,115,57,64,163,31,54,1,49
兰州,2013-11-7,轻度污染,119,71,79,205,44,55,1,25
兰州,2013-11-8,轻度污染,123,70,72,168,38,40,1,33
兰州,2013-11-9,良,83,35,22,77,19,15,1,52
兰州,2013-11-10,良,60,32,48,84,18,25,1,24
兰州,2013-11-11,良,82,92,58,111,24,25,1,16
兰州,2013-11-12,良,88,81,60,122,35,19,1,43
兰州,2013-11-13,良,97,70,66,218,22,19,1,37
兰州,2013-11-14,严重污染,371,110,181,655,35,32,1,29
兰州,2013-11-15,严重污染,414,111,152,434,53,40,2,16
兰州,2013-11-16,重度污染,250,109,140,335,51,30,2,16
兰州,2013-11-17,重度污染,204,109,166,313,43,31,2,14
兰州,2013-11-18,中度污染,200,110,126,335,52,35,1,12
兰州,2013-11-19,中度污染,200,112,138,338,56,38,2,12
兰州,2013-11-20,中度污染,200,107,161,277,52,36,1,13
兰州,2013-11-21,中度污染,174,82,112,218,47,38,1,14
兰州,2013-11-22,重度污染,234,91,183,127,36,27,1,15
兰州,2013-11-23,轻度污染,109,41,41,131,14,13,1,29
兰州,2013-11-24,轻度污染,116,46,73,189,29,29,1,15
兰州,2013-11-25,良,100,78,70,100,37,38,1,13
兰州,2013-11-26,轻度污染,101,79,63,87,29,33,1,17
兰州,2013-11-27,良,63,21,27,57,24,20,1,23
兰州,2013-11-28,良,53,17,37,58,37,28,1,16
兰州,2013-11-29,良,77,66,77,97,42,42,2,12
兰州,2013-11-30,轻度污染,113,86,84,110,45,42,2,12
兰州,2013-12-1,轻度污染,106,59,92,146,50,47,2,13
兰州,2013-12-2,轻度污染,141,60,106,203,55,49,2,12
兰州,2013-12-3,轻度污染,111,30,64,150,45,39,2,13
兰州,2013-12-4,轻度污染,117,37,98,153,35,33,1,16
兰州,2013-12-5,轻度污染,112,43,58,159,46,35,2,11
兰州,2013-12-6,轻度污染,118,50,101,211,57,46,2,13
兰州,2013-12-7,轻度污染,150,49,117,221,56,46,2,13
兰州,2013-12-8,轻度污染,101,13,20,59,20,16,1,23
兰州,2013-12-9,良,66,10,54,119,30,30,2,13
兰州,2013-12-10,良,88,31,37,98,25,23,1,17
兰州,2013-12-11,良,76,23,47,123,42,30,2,13
兰州,2013-12-12,轻度污染,102,50,85,181,54,40,2,11
兰州,2013-12-13,轻度污染,117,56,80,164,47,36,2,14
兰州,2013-12-14,良,93,29,59,122,39,32,2,9
兰州,2013-12-15,轻度污染,102,50,90,139,26,31,2,10
兰州,2013-12-16,轻度污染,137,77,119,176,28,37,2,32
兰州,2013-12-17,中度污染,167,84,128,210,37,47,2,15
兰州,2013-12-18,轻度污染,130,81,86,148,41,34,2,16
兰州,2013-12-19,轻度污染,117,62,81,145,30,25,1,22
兰州,2013-12-20,良,81,33,44,71,27,18,1,30
兰州,2013-12-21,良,74,21,68,124,31,29,1,18
兰州,2013-12-22,轻度污染,115,35,105,168,33,38,2,17
兰州,2013-12-23,轻度污染,146,47,102,160,27,31,1,18
兰州,2013-12-24,轻度污染,120,35,84,133,32,29,1,19
兰州,2013-12-25,轻度污染,145,35,124,149,36,27,1,17
兰州,2013-12-26,轻度污染,107,22,36,80,27,23,1,22
兰州,2013-12-27,良,79,33,63,123,36,28,1,19
兰州,2013-12-28,良,88,35,63,129,39,31,1,18
兰州,2013-12-29,轻度污染,101,53,79,158,43,35,1,14
兰州,2013-12-30,轻度污染,111,43,86,169,49,36,2,15
兰州,2013-12-31,轻度污染,134,114,115,212,51,39,2,17
兰州,2014-1-1,中度污染,162,155,120,214,52,38,2,20
兰州,2014-1-2,轻度污染,128,78,77,154,49,28,2,21
兰州,2014-1-3,轻度污染,101,55,69,141,52,33,2,20
兰州,2014-1-4,轻度污染,122,94,92,164,51,37,2,20
兰州,2014-1-5,轻度污染,116,46,87,162,53,35,2,18
兰州,2014-1-6,良,98,36,62,134,38,26,1,36
兰州,2014-1-7,良,52,6,15,56,22,26,1,38
兰州,2014-1-8,优,49,29,23,55,28,35,1,35
兰州,2014-1-9,良,84,122,53,116,43,51,2,25
兰州,2014-1-10,良,85,56,55,118,37,47,2,26
兰州,2014-1-11,良,73,33,40,94,30,37,1,28
兰州,2014-1-12,良,82,67,50,113,44,45,2,22
兰州,2014-1-13,轻度污染,105,98,74,150,45,52,2,21
兰州,2014-1-14,轻度污染,102,75,74,147,55,48,2,24
兰州,2014-1-15,中度污染,184,119,292,148,44,51,2,26
兰州,2014-1-16,轻度污染,117,57,83,160,54,61,2,55
兰州,2014-1-17,轻度污染,135,62,101,199,51,53,2,21
兰州,2014-1-18,轻度污染,139,74,97,190,37,47,2,32
兰州,2014-1-19,轻度污染,142,81,51,231,27,27,1,45
兰州,2014-1-20,轻度污染,123,81,86,168,44,50,2,24
兰州,2014-1-21,轻度污染,115,145,87,135,47,55,2,26
兰州,2014-1-22,轻度污染,132,144,100,142,51,68,3,27
兰州,2014-1-24,良,75,41,36,99,28,31,1,37
兰州,2014-1-25,良,73,39,49,82,37,45,2,33
兰州,2014-1-26,良,100,112,74,113,49,55,3,22
兰州,2014-1-27,良,92,95,66,103,31,41,2,33
兰州,2014-1-28,良,71,65,51,75,37,46,2,37
兰州,2014-1-29,轻度污染,136,133,85,155,42,58,2,41
兰州,2014-1-30,轻度污染,104,58,71,128,44,54,2,45
兰州,2014-1-31,中度污染,153,49,115,158,55,56,2,41
兰州,2014-2-1,轻度污染,105,82,78,106,48,52,2,43
兰州,2014-2-2,轻度污染,114,74,85,129,40,46,2,38
兰州,2014-2-3,良,72,89,22,94,22,19,1,49
兰州,2014-2-4,良,69,131,37,86,30,25,1,36
兰州,2014-2-5,良,72,139,38,93,23,15,1,29
兰州,2014-2-6,良,77,136,46,103,20,14,1,34
兰州,2014-2-7,轻度污染,106,151,61,160,23,21,1,35
兰州,2014-2-8,良,93,142,66,123,23,15,1,45
兰州,2014-2-9,优,48,78,31,46,15,12,1,51
兰州,2014-2-10,良,80,145,58,72,19,24,1,40
兰州,2014-2-11,良,87,108,64,86,20,24,1,41
兰州,2014-2-12,良,69,42,49,70,15,19,1,47
兰州,2014-2-13,良,99,103,74,94,20,30,1,39
兰州,2014-2-14,轻度污染,118,100,88,111,30,45,2,44
兰州,2014-2-15,轻度污染,103,57,77,102,43,45,2,34
兰州,2014-2-16,良,92,93,68,83,29,37,2,35
