,城市,日期,AQI
53532,兰州,2013-10-28,94
53533,兰州,2013-10-29,86
53534,兰州,2013-10-30,77
53535,兰州,2013-10-31,74
53536,兰州,2013-11-1,99
53537,兰州,2013-11-2,113
53538,兰州,2013-11-3,139
53539,兰州,2013-11-4,111
53540,兰州,2013-11-5,135
53541,兰州,2013-11-6,115
53542,兰州,2013-11-7,119
53543,兰州,2013-11-8,123
53544,兰州,2013-11-9,83
53545,兰州,2013-11-10,60
53546,兰州,2013-11-11,82
53547,兰州,2013-11-12,88
53548,兰州,2013-11-13,97
53549,兰州,2013-11-14,371
53550,兰州,2013-11-15,414
53551,兰州,2013-11-16,250
53552,兰州,2013-11-17,204
53553,兰州,2013-11-18,200
53554,兰州,2013-11-19,200
53555,兰州,2013-11-20,200
53556,兰州,2013-11-21,174
53557,兰州,2013-11-22,234
53558,兰州,2013-11-23,109
53559,兰州,2013-11-24,116
53560,兰州,2013-11-25,100
53561,兰州,2013-11-26,101
53562,兰州,2013-11-27,63
53563,兰州,2013-11-28,53
53564,兰州,2013-11-29,77
53565,兰州,2013-11-30,113
53566,兰州,2013-12-1,106
53567,兰州,2013-12-2,141
53568,兰州,2013-12-3,111
53569,兰州,2013-12-4,117
53570,兰州,2013-12-5,112
53571,兰州,2013-12-6,118
53572,兰州,2013-12-7,150
53573,兰州,2013-12-8,101
53574,兰州,2013-12-9,66
53575,兰州,2013-12-10,88
53576,兰州,2013-12-11,76
53577,兰州,2013-12-12,102
53578,兰州,2013-12-13,117
53579,兰州,2013-12-14,93
53580,兰州,2013-12-15,102
53581,兰州,2013-12-16,137
53582,兰州,2013-12-17,167
53583,兰州,2013-12-18,130
53584,兰州,2013-12-19,117
53585,兰州,2013-12-20,81
53586,兰州,2013-12-21,74
53587,兰州,2013-12-22,115
53588,兰州,2013-12-23,146
53589,兰州,2013-12-24,120
53590,兰州,2013-12-25,145
53591,兰州,2013-12-26,107
53592,兰州,2013-12-27,79
53593,兰州,2013-12-28,88
53594,兰州,2013-12-29,101
53595,兰州,2013-12-30,111
53596,兰州,2013-12-31,134
53597,兰州,2014-1-1,162
53598,兰州,2014-1-2,128
53599,兰州,2014-1-3,101
53600,兰州,2014-1-4,122
53601,兰州,2014-1-5,116
53602,兰州,2014-1-6,98
53603,兰州,2014-1-7,52
53604,兰州,2014-1-8,49
53605,兰州,2014-1-9,84
53606,兰州,2014-1-10,85
53607,兰州,2014-1-11,73
53608,兰州,2014-1-12,82
53609,兰州,2014-1-13,105
53610,兰州,2014-1-14,102
53611,兰州,2014-1-15,184
53612,兰州,2014-1-16,117
53613,兰州,2014-1-17,135
53614,兰州,2014-1-18,139
53615,兰州,2014-1-19,142
53616,兰州,2014-1-20,123
53617,兰州,2014-1-21,115
53618,兰州,2014-1-22,132
53619,兰州,2014-1-24,75
53620,兰州,2014-1-25,73
53621,兰州,2014-1-26,100
53622,兰州,2014-1-27,92
53623,兰州,2014-1-28,71
53624,兰州,2014-1-29,136
53625,兰州,2014-1-30,104
53626,兰州,2014-1-31,153
53627,兰州,2014-2-1,105
53628,兰州,2014-2-2,114
53629,兰州,2014-2-3,72
53630,兰州,2014-2-4,69
53631,兰州,2014-2-5,72
53632,兰州,2014-2-6,77
53633,兰州,2014-2-7,106
53634,兰州,2014-2-8,93
53635,兰州,2014-2-9,48
53636,兰州,2014-2-10,80
53637,兰州,2014-2-11,87
53638,兰州,2014-2-12,69
53639,兰州,2014-2-13,99
53640,兰州,2014-2-14,118
53641,兰州,2014-2-15,103
53642,兰州,2014-2-16,92
53643,兰州,2014-2-17,99
53644,兰州,2014-2-18,97
53645,兰州,2014-2-19,79
53646,兰州,2014-2-20,98
53647,兰州,2014-2-21,89
53648,兰州,2014-2-22,99
53649,兰州,2014-2-23,100
53650,兰州,2014-2-24,87
53651,兰州,2014-2-25,105
53652,兰州,2014-2-26,170
53653,兰州,2014-2-27,93
53654,兰州,2014-2-28,92
53655,兰州,2014-3-1,94
53656,兰州,2014-3-2,85
53657,兰州,2014-3-3,88
53658,兰州,2014-3-4,86
53659,兰州,2014-3-5,105
53660,兰州,2014-3-6,94
53661,兰州,2014-3-7,88
53662,兰州,2014-3-8,105
53663,兰州,2014-3-9,109
53664,兰州,2014-3-10,101
53665,兰州,2014-3-11,91
53666,兰州,2014-3-12,85
53667,兰州,2014-3-13,94
53668,兰州,2014-3-14,120
53669,兰州,2014-3-15,130
53670,兰州,2014-3-16,114
53671,兰州,2014-3-17,107
53672,兰州,2014-3-18,130
53673,兰州,2014-3-19,146
53674,兰州,2014-3-20,80
53675,兰州,2014-3-21,88
53676,兰州,2014-3-22,65
53677,兰州,2014-3-23,69
53678,兰州,2014-3-25,127
53679,兰州,2014-3-26,134
53680,兰州,2014-3-27,122
53681,兰州,2014-3-28,100
53682,兰州,2014-3-29,110
53683,兰州,2014-3-30,72
53684,兰州,2014-3-31,86
53685,兰州,2014-4-1,91
53686,兰州,2014-4-2,62
53687,兰州,2014-4-3,68
53688,兰州,2014-4-4,88
53689,兰州,2014-4-5,82
53690,兰州,2014-4-6,74
53691,兰州,2014-4-7,110
53692,兰州,2014-4-8,121
53693,兰州,2014-4-9,69
53694,兰州,2014-4-10,109
53695,兰州,2014-4-11,80
53696,兰州,2014-4-12,77
53697,兰州,2014-4-13,81
53698,兰州,2014-4-14,66
53699,兰州,2014-4-15,60
53700,兰州,2014-4-16,44
53701,兰州,2014-4-17,64
53702,兰州,2014-4-18,44
53703,兰州,2014-4-19,45
53704,兰州,2014-4-20,57
53705,兰州,2014-4-21,43
53706,兰州,2014-4-22,82
53707,兰州,2014-4-23,96
53708,兰州,2014-4-24,347
53709,兰州,2014-4-25,265
53710,兰州,2014-4-26,254
53711,兰州,2014-4-27,189
53712,兰州,2014-4-28,132
53713,兰州,2014-4-29,152
53714,兰州,2014-4-30,244
53715,兰州,2014-5-1,101
53716,兰州,2014-5-2,101
53717,兰州,2014-5-3,120
53718,兰州,2014-5-4,93
53719,兰州,2014-5-5,83
53720,兰州,2014-5-6,108
53721,兰州,2014-5-7,107
53722,兰州,2014-5-8,105
53723,兰州,2014-5-9,337
53724,兰州,2014-5-10,69
53725,兰州,2014-5-11,74
53726,兰州,2014-5-12,84
53727,兰州,2014-5-13,92
53728,兰州,2014-5-14,73
53729,兰州,2014-5-15,68
53730,兰州,2014-5-16,85
53731,兰州,2014-5-17,77
53732,兰州,2014-5-18,111
53733,兰州,2014-5-19,56
53734,兰州,2014-5-20,103
53735,兰州,2014-5-21,68
53736,兰州,2014-5-22,66
53737,兰州,2014-5-23,76
53738,兰州,2014-5-24,205
53739,兰州,2014-5-25,232
53740,兰州,2014-5-26,125
53741,兰州,2014-5-27,85
53742,兰州,2014-5-28,96
53743,兰州,2014-5-29,88
53744,兰州,2014-5-30,66
53745,兰州,2014-5-31,70
53746,兰州,2014-6-1,83
53747,兰州,2014-6-2,85
53748,兰州,2014-6-3,84
53749,兰州,2014-6-4,78
53750,兰州,2014-6-5,80
53751,兰州,2014-6-6,72
53752,兰州,2014-6-7,92
53753,兰州,2014-6-8,74
53754,兰州,2014-6-9,64
53755,兰州,2014-6-10,68
53756,兰州,2014-6-11,82
53757,兰州,2014-6-12,66
53758,兰州,2014-6-13,81
53759,兰州,2014-6-14,115
53760,兰州,2014-6-15,83
53761,兰州,2014-6-16,74
53762,兰州,2014-6-17,93
53763,兰州,2014-6-18,74
53764,兰州,2014-6-19,59
53765,兰州,2014-6-20,75
53766,兰州,2014-6-21,89
53767,兰州,2014-6-22,82
53768,兰州,2014-6-23,68
53769,兰州,2014-6-24,62
53770,兰州,2014-6-25,106
53771,兰州,2014-6-26,92
53772,兰州,2014-6-27,97
53773,兰州,2014-6-28,60
53774,兰州,2014-6-29,69
53775,兰州,2014-6-30,77
53776,兰州,2014-7-1,78
53777,兰州,2014-7-2,86
53778,兰州,2014-7-3,59
53779,兰州,2014-7-4,84
53780,兰州,2014-7-5,78
53781,兰州,2014-7-6,68
53782,兰州,2014-7-7,107
53783,兰州,2014-7-8,60
53784,兰州,2014-7-9,47
53785,兰州,2014-7-10,59
53786,兰州,2014-7-11,85
53787,兰州,2014-7-12,90
